Year,Reporting Period,Eligibility Group,Number of Enrollees
2016,2016-10,MAGI-Child,"2,256,562"
2016,2016-10,MAGI-Adult,"4,539,084"
2016,2016-10,Non-MAGI-Child,"1,631,168"
2016,2016-10,Non-MAGI-Adult,"2,475,878"
2016,2016-10,CHIP,"1,286,660"
2016,2016-10,Non-CMSPI,"1,042,619"
2016,2016-11,MAGI-Child,"2,303,035"
2016,2016-11,MAGI-Adult,"4,596,581"
2016,2016-11,Non-MAGI-Child,"1,579,786"
2016,2016-11,Non-MAGI-Adult,"2,436,840"
2016,2016-11,CHIP,"1,293,363"
2016,2016-11,Non-CMSPI,"1,044,289"
2016,2016-12,MAGI-Child,"2,382,355"
2016,2016-12,MAGI-Adult,"4,727,949"
2016,2016-12,Non-MAGI-Child,"1,556,838"
2016,2016-12,Non-MAGI-Adult,"2,434,030"
2016,2016-12,CHIP,"1,304,180"
2016,2016-12,Non-CMSPI,"1,044,705"
2017,2017-01,MAGI-Child,"2,402,790"
2017,2017-01,MAGI-Adult,"4,724,754"
2017,2017-01,Non-MAGI-Child,"1,530,631"
2017,2017-01,Non-MAGI-Adult,"2,408,547"
2017,2017-01,CHIP,"1,293,727"
2017,2017-01,Non-CMSPI,"1,042,687"
2017,2017-02,MAGI-Child,"2,429,211"
2017,2017-02,MAGI-Adult,"4,753,515"
2017,2017-02,Non-MAGI-Child,"1,514,434"
2017,2017-02,Non-MAGI-Adult,"2,394,456"
2017,2017-02,CHIP,"1,291,844"
2017,2017-02,Non-CMSPI,"1,042,593"
2017,2017-03,MAGI-Child,"2,450,594"
2017,2017-03,MAGI-Adult,"4,769,837"
2017,2017-03,Non-MAGI-Child,"1,490,737"
2017,2017-03,Non-MAGI-Adult,"2,375,981"
2017,2017-03,CHIP,"1,289,592"
2017,2017-03,Non-CMSPI,"1,040,269"
2017,2017-04,MAGI-Child,"2,468,603"
2017,2017-04,MAGI-Adult,"4,780,691"
2017,2017-04,Non-MAGI-Child,"1,460,484"
2017,2017-04,Non-MAGI-Adult,"2,360,612"
2017,2017-04,CHIP,"1,288,589"
2017,2017-04,Non-CMSPI,"1,041,500"
2017,2017-05,MAGI-Child,"2,471,332"
2017,2017-05,MAGI-Adult,"4,781,276"
2017,2017-05,Non-MAGI-Child,"1,437,960"
2017,2017-05,Non-MAGI-Adult,"2,344,818"
2017,2017-05,CHIP,"1,287,877"
2017,2017-05,Non-CMSPI,"1,034,989"
2017,2017-06,MAGI-Child,"2,469,504"
2017,2017-06,MAGI-Adult,"4,778,144"
2017,2017-06,Non-MAGI-Child,"1,423,286"
2017,2017-06,Non-MAGI-Adult,"2,334,047"
2017,2017-06,CHIP,"1,288,447"
2017,2017-06,Non-CMSPI,"1,026,732"
2017,2017-07,MAGI-Child,"2,469,291"
2017,2017-07,MAGI-Adult,"4,777,136"
2017,2017-07,Non-MAGI-Child,"1,411,987"
2017,2017-07,Non-MAGI-Adult,"2,329,977"
2017,2017-07,CHIP,"1,288,998"
2017,2017-07,Non-CMSPI,"1,022,114"
2017,2017-08,MAGI-Child,"2,473,255"
2017,2017-08,MAGI-Adult,"4,797,055"
2017,2017-08,Non-MAGI-Child,"1,414,699"
2017,2017-08,Non-MAGI-Adult,"2,325,212"
2017,2017-08,CHIP,"1,300,715"
2017,2017-08,Non-CMSPI,"1,020,953"
2017,2017-09,MAGI-Child,"2,462,186"
2017,2017-09,MAGI-Adult,"4,785,204"
2017,2017-09,Non-MAGI-Child,"1,403,282"
2017,2017-09,Non-MAGI-Adult,"2,315,580"
2017,2017-09,CHIP,"1,302,635"
2017,2017-09,Non-CMSPI,"1,015,983"
2017,2017-10,MAGI-Child,"2,453,702"
2017,2017-10,MAGI-Adult,"4,771,095"
2017,2017-10,Non-MAGI-Child,"1,388,606"
2017,2017-10,Non-MAGI-Adult,"2,310,821"
2017,2017-10,CHIP,"1,303,336"
2017,2017-10,Non-CMSPI,"1,014,744"
2017,2017-11,MAGI-Child,"2,443,453"
2017,2017-11,MAGI-Adult,"4,763,338"
2017,2017-11,Non-MAGI-Child,"1,378,854"
2017,2017-11,Non-MAGI-Adult,"2,306,544"
2017,2017-11,CHIP,"1,302,155"
2017,2017-11,Non-CMSPI,"1,014,728"
2017,2017-12,MAGI-Child,"2,452,044"
2017,2017-12,MAGI-Adult,"4,790,763"
2017,2017-12,Non-MAGI-Child,"1,363,261"
2017,2017-12,Non-MAGI-Adult,"2,305,752"
2017,2017-12,CHIP,"1,308,726"
2017,2017-12,Non-CMSPI,"1,014,613"
2018,2018-01,MAGI-Child,"2,464,360"
2018,2018-01,MAGI-Adult,"4,797,628"
2018,2018-01,Non-MAGI-Child,"1,355,361"
2018,2018-01,Non-MAGI-Adult,"2,296,916"
2018,2018-01,CHIP,"1,314,526"
2018,2018-01,Non-CMSPI,"1,015,582"
